Postal Code,Crime Dec2020
S1,223
S2,585
S3,221
S4,222
S5,752
S6,405
S7,78
S8,325
S9,362
S10,196
S11,208
S12,287
S13,355
S14,130
S17,64
S18,107
S20,195
S21,128
S25,162
S26,153
S32,36
S33,49
S35,253
S36,159
S40,363
S41,393
S42,173
S43,300
S44,139
S45,87
S60,341
S61,338
S62,149
S63,401
S64,260
S65,400
S66,346
S70,558
S71,459
S72,215
S73,285
S74,174
S75,198
S80,446
S81,225
